# E (eV)  dos(E)    pdos(E)
  13.096  0.340E+00  0.253E+00
  13.196  0.490E+00  0.402E+00
  13.296  0.325E+00  0.238E+00
  13.396  0.232E+00  0.915E-01
  13.496  0.591E+00  0.186E+00
  13.596  0.423E+00  0.204E+00
  13.696  0.629E+00  0.393E+00
  13.796  0.422E+00  0.261E+00
  13.896  0.333E+00  0.235E+00
  13.996  0.740E+00  0.623E+00
  14.096  0.938E+00  0.801E+00
  14.196  0.713E+00  0.578E+00
  14.296  0.728E+00  0.513E+00
  14.396  0.579E+00  0.457E+00
  14.496  0.393E+00  0.253E+00
  14.596  0.429E+00  0.339E+00
  14.696  0.562E+00  0.386E+00
  14.796  0.202E+00  0.161E+00
  14.896  0.423E+00  0.296E+00
  14.996  0.490E+00  0.275E+00
  15.096  0.581E+00  0.436E+00
  15.196  0.420E+00  0.253E+00
  15.296  0.269E+00  0.187E+00
  15.396  0.970E-01  0.661E-01
  15.496  0.566E+00  0.343E+00
  15.596  0.329E+00  0.211E+00
  15.696  0.462E+00  0.354E+00
  15.796  0.340E+00  0.142E+00
  15.896  0.365E+00  0.209E+00
  15.996  0.370E+00  0.276E+00
  16.096  0.186E+00  0.483E-01
  16.196  0.531E+00  0.349E+00
  16.296  0.130E+00  0.933E-01
  16.396  0.387E+00  0.209E+00
  16.496  0.551E+00  0.325E+00
  16.596  0.118E+00  0.581E-01
  16.696  0.244E+00  0.125E+00
  16.796  0.603E+00  0.353E+00
  16.896  0.274E+00  0.133E+00
  16.996  0.888E-01  0.488E-01
  17.096  0.373E+00  0.216E+00
  17.196  0.439E+00  0.208E+00
  17.296  0.205E+00  0.137E+00
  17.396  0.239E+00  0.146E+00
  17.496  0.533E+00  0.212E+00
  17.596  0.265E+00  0.883E-01
  17.696  0.639E+00  0.165E+00
  17.796  0.829E+00  0.349E+00
  17.896  0.612E+00  0.160E+00
  17.996  0.448E+00  0.135E+00
  18.096  0.320E+00  0.147E+00
  18.196  0.592E+00  0.234E+00
  18.296  0.399E+00  0.127E+00
  18.396  0.623E+00  0.213E+00
  18.496  0.356E+00  0.183E+00
  18.596  0.460E+00  0.166E+00
  18.696  0.197E+00  0.698E-01
  18.796  0.479E+00  0.158E+00
  18.896  0.604E+00  0.259E+00
  18.996  0.339E+00  0.158E+00
  19.096  0.292E+00  0.956E-01
  19.196  0.127E+01  0.633E+00
  19.296  0.183E+01  0.980E+00
  19.396  0.127E+01  0.688E+00
  19.496  0.915E+00  0.504E+00
  19.596  0.119E+01  0.559E+00
  19.696  0.819E+00  0.344E+00
  19.796  0.933E+00  0.512E+00
  19.896  0.684E+00  0.334E+00
  19.996  0.693E+00  0.193E+00
  20.096  0.844E+00  0.276E+00
  20.196  0.965E+00  0.338E+00
  20.296  0.650E+00  0.253E+00
  20.396  0.970E+00  0.305E+00
  20.496  0.138E+01  0.276E+00
  20.596  0.114E+01  0.319E+00
  20.696  0.104E+01  0.267E+00
  20.796  0.107E+01  0.264E+00
  20.896  0.118E+01  0.248E+00
  20.996  0.137E+01  0.226E+00
  21.096  0.153E+01  0.271E+00
  21.196  0.134E+01  0.145E+00
  21.296  0.489E+00  0.137E+00
  21.396  0.652E+00  0.165E+00
  21.496  0.377E+00  0.780E-01
  21.596  0.640E+00  0.167E+00
  21.696  0.485E+00  0.929E-01
  21.796  0.620E+00  0.211E+00
  21.896  0.608E+00  0.123E+00
  21.996  0.588E+00  0.130E+00
  22.096  0.473E+00  0.144E+00
  22.196  0.599E+00  0.248E+00
  22.296  0.918E+00  0.399E+00
  22.396  0.140E+01  0.648E+00
  22.496  0.169E+01  0.110E+01
  22.596  0.102E+01  0.522E+00
  22.696  0.132E+01  0.629E+00
  22.796  0.748E+00  0.209E+00
  22.896  0.129E+01  0.257E+00
  22.996  0.150E+01  0.227E+00
  23.096  0.143E+01  0.398E+00
  23.196  0.135E+01  0.385E+00
  23.296  0.121E+01  0.210E+00
  23.396  0.513E+00  0.124E+00
  23.496  0.662E+00  0.143E+00
  23.596  0.103E+01  0.200E+00
  23.696  0.104E+01  0.207E+00
  23.796  0.567E+00  0.700E-01
  23.896  0.709E+00  0.108E+00
