    0.0000  -17.4631
    0.0500  -17.4631
    0.1000  -17.4630
    0.1500  -17.4630
    0.2000  -17.4629
    0.2500  -17.4628
    0.3000  -17.4626
    0.3500  -17.4625
    0.4000  -17.4623
    0.4500  -17.4622
    0.5000  -17.4621
    0.5707  -17.4622
    0.6414  -17.4623
    0.7121  -17.4623
    0.7828  -17.4624
    0.8536  -17.4624
    0.9243  -17.4623
    0.9950  -17.4622
    1.0657  -17.4621
    1.1364  -17.4619
    1.2071  -17.4619
    1.2571  -17.4620
    1.3071  -17.4621
    1.3571  -17.4623
    1.4071  -17.4625
    1.4571  -17.4627
    1.5071  -17.4628
    1.5571  -17.4629
    1.6071  -17.4630
    1.6571  -17.4631
    1.7071  -17.4631
    1.7571  -17.4631
    1.8071  -17.4630
    1.8571  -17.4630
    1.9071  -17.4629
    1.9571  -17.4628
    2.0071  -17.4627
    2.0571  -17.4625
    2.1071  -17.4624
    2.1571  -17.4622
    2.2071  -17.4621
    2.2778  -17.4621
    2.3485  -17.4620
    2.4192  -17.4619
    2.4899  -17.4617
    2.5607  -17.4614
    2.6314  -17.4612
    2.7021  -17.4609
    2.7728  -17.4606
    2.8435  -17.4603
    2.9142  -17.4601
    3.0008  -17.4603
    3.0874  -17.4608
    3.1740  -17.4612
    3.2606  -17.4616
    3.3472  -17.4620
    3.4338  -17.4624
    3.5204  -17.4627
    3.6070  -17.4629
    3.6936  -17.4630
    3.7802  -17.4631
    3.8509  -17.4630
    3.9217  -17.4630
    3.9924  -17.4628
    4.0631  -17.4626
    4.1338  -17.4624
    4.2045  -17.4621
    4.2752  -17.4618
    4.3459  -17.4615
    4.4166  -17.4611
    4.4873  -17.4609
    4.5581  -17.4610
    4.6288  -17.4612
    4.6995  -17.4613
    4.7702  -17.4614
    4.8409  -17.4614
    4.9116  -17.4615
    4.9823  -17.4614
    5.0530  -17.4614
    5.1237  -17.4613
    5.1945  -17.4613
    5.2652  -17.4614
    5.3359  -17.4616
    5.4066  -17.4619
    5.4773  -17.4622
    5.5480  -17.4624
    5.6187  -17.4627
    5.6894  -17.4628
    5.7601  -17.4630
    5.8308  -17.4631
    5.9016  -17.4631
    5.9723  -17.4630
    6.0430  -17.4630
    6.1137  -17.4628
    6.1844  -17.4626
    6.2551  -17.4624
    6.3258  -17.4621
    6.3965  -17.4618
    6.4672  -17.4614
    6.5380  -17.4611
    6.6087  -17.4610
 
    0.0000  -17.4610
    0.0500  -17.4610
    0.1000  -17.4610
    0.1500  -17.4609
    0.2000  -17.4610
    0.2500  -17.4611
    0.3000  -17.4612
    0.3500  -17.4613
    0.4000  -17.4615
    0.4500  -17.4616
    0.5000  -17.4617
    0.5707  -17.4616
    0.6414  -17.4614
    0.7121  -17.4612
    0.7828  -17.4610
    0.8536  -17.4607
    0.9243  -17.4607
    0.9950  -17.4609
    1.0657  -17.4612
    1.1364  -17.4614
    1.2071  -17.4615
    1.2571  -17.4614
    1.3071  -17.4612
    1.3571  -17.4610
    1.4071  -17.4608
    1.4571  -17.4607
    1.5071  -17.4608
    1.5571  -17.4609
    1.6071  -17.4609
    1.6571  -17.4610
    1.7071  -17.4610
    1.7571  -17.4610
    1.8071  -17.4611
    1.8571  -17.4611
    1.9071  -17.4612
    1.9571  -17.4613
    2.0071  -17.4614
    2.0571  -17.4616
    2.1071  -17.4617
    2.1571  -17.4619
    2.2071  -17.4620
    2.2778  -17.4619
    2.3485  -17.4618
    2.4192  -17.4617
    2.4899  -17.4615
    2.5607  -17.4613
    2.6314  -17.4610
    2.7021  -17.4607
    2.7728  -17.4604
    2.8435  -17.4601
    2.9142  -17.4600
    3.0008  -17.4600
    3.0874  -17.4602
    3.1740  -17.4604
    3.2606  -17.4605
    3.3472  -17.4607
    3.4338  -17.4608
    3.5204  -17.4609
    3.6070  -17.4609
    3.6936  -17.4610
    3.7802  -17.4610
    3.8509  -17.4610
    3.9217  -17.4610
    3.9924  -17.4610
    4.0631  -17.4610
    4.1338  -17.4609
    4.2045  -17.4609
    4.2752  -17.4609
    4.3459  -17.4608
    4.4166  -17.4608
    4.4873  -17.4608
    4.5581  -17.4609
    4.6288  -17.4610
    4.6995  -17.4611
    4.7702  -17.4612
    4.8409  -17.4613
    4.9116  -17.4613
    4.9823  -17.4612
    5.0530  -17.4612
    5.1237  -17.4611
    5.1945  -17.4611
    5.2652  -17.4611
    5.3359  -17.4611
    5.4066  -17.4610
    5.4773  -17.4610
    5.5480  -17.4610
    5.6187  -17.4610
    5.6894  -17.4610
    5.7601  -17.4610
    5.8308  -17.4610
